LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
2.436,4.43E+01
2.44,5.14E+01
2.444,5.60E+01
2.448,5.82E+01
2.452,5.75E+01
2.456,5.43E+01
2.46,4.94E+01
2.464,4.41E+01
2.468,3.80E+01
2.472,3.16E+01
2.476,2.60E+01
2.48,2.06E+01
2.484,1.62E+01
2.488,1.26E+01
2.492,1.04E+01
2.496,9.63E+00
2.5,9.87E+00
2.504,9.63E+00
2.508,9.63E+00
2.512,1.01E+01
2.516,1.06E+01
2.52,1.04E+01
2.524,1.01E+01
2.528,1.04E+01
2.532,1.06E+01
2.536,1.04E+01
2.54,1.06E+01
2.544,1.11E+01
2.548,1.21E+01
2.552,1.26E+01
2.556,1.26E+01
2.56,1.26E+01
2.564,1.28E+01
2.568,1.23E+01
2.572,1.18E+01
2.576,1.16E+01
2.58,1.21E+01
2.584,1.30E+01
2.588,1.57E+01
2.592,2.23E+01
2.596,3.16E+01
2.6,4.09E+01
2.604,4.87E+01
2.608,5.43E+01
2.612,5.75E+01
2.616,5.80E+01
2.62,5.55E+01
2.624,5.11E+01
2.628,4.60E+01
2.632,4.01E+01
2.636,3.43E+01
2.64,2.82E+01
2.644,2.26E+01
2.648,1.79E+01
2.652,1.40E+01
2.656,1.09E+01
2.66,9.63E+00
2.664,9.63E+00
2.668,9.87E+00
2.672,9.87E+00
2.676,9.87E+00
2.68,1.04E+01
2.684,1.04E+01
2.688,1.01E+01
2.692,1.01E+01
2.696,1.04E+01
2.7,1.06E+01
2.704,1.06E+01
2.708,1.09E+01
2.712,1.16E+01
2.716,1.23E+01
2.72,1.26E+01
2.724,1.26E+01
2.728,1.26E+01
2.732,1.26E+01
2.736,1.21E+01
2.74,1.18E+01
2.744,1.18E+01
2.748,1.26E+01
2.752,1.43E+01
2.756,1.92E+01
2.76,2.77E+01
2.764,3.70E+01
2.768,4.58E+01
2.772,5.21E+01
2.776,5.63E+01
2.78,5.80E+01
2.784,5.67E+01
2.788,5.31E+01
2.792,4.80E+01
2.796,4.23E+01
2.8,3.67E+01
2.804,3.04E+01
2.808,2.48E+01
2.812,1.96E+01
2.816,1.55E+01
2.82,1.21E+01
2.824,9.87E+00
2.828,9.39E+00
2.832,9.63E+00
2.836,9.87E+00
2.84,9.87E+00
2.844,1.01E+01
2.848,1.04E+01
2.852,1.04E+01
2.856,1.01E+01
2.86,1.01E+01
2.864,1.06E+01
2.868,1.06E+01
2.872,1.06E+01
2.876,1.11E+01
2.88,1.21E+01
2.884,1.26E+01
2.888,1.26E+01
2.892,1.26E+01
2.896,1.26E+01
2.9,1.23E+01
2.904,1.21E+01
2.908,1.16E+01
2.912,1.21E+01
2.916,1.33E+01
2.92,1.62E+01
2.924,2.31E+01
2.928,3.23E+01
2.932,4.16E+01
2.936,4.92E+01
2.94,5.46E+01
2.944,5.72E+01
2.948,5.75E+01
2.952,5.50E+01
2.956,5.04E+01
2.96,4.50E+01
2.964,3.92E+01
2.968,3.36E+01
2.972,2.77E+01
2.976,2.18E+01
2.98,1.74E+01
2.984,1.35E+01
2.988,1.09E+01
2.992,9.63E+00
2.996,9.63E+00
3,9.87E+00
3.004,9.87E+00
3.008,9.87E+00
3.012,1.01E+01
3.016,1.06E+01
3.02,1.01E+01
3.024,1.01E+01
3.028,1.01E+01
3.032,1.06E+01
3.036,1.06E+01
3.04,1.09E+01
3.044,1.13E+01
3.048,1.23E+01
3.052,1.28E+01
3.056,1.26E+01
3.06,1.26E+01
3.064,1.26E+01
3.068,1.23E+01
3.072,1.18E+01
3.076,1.16E+01
3.08,1.23E+01
3.084,1.43E+01
3.088,1.89E+01
3.092,2.70E+01
3.096,3.65E+01
3.1,4.50E+01
3.104,5.19E+01
3.108,5.58E+01
3.112,5.72E+01
3.116,5.65E+01
3.12,5.31E+01
3.124,4.77E+01
3.128,4.21E+01
3.132,3.65E+01
3.136,3.06E+01
3.14,2.50E+01
3.144,1.96E+01
3.148,1.55E+01
3.152,1.23E+01
3.156,1.01E+01
3.16,9.39E+00
3.164,9.87E+00
3.168,9.87E+00
3.172,9.87E+00
3.176,9.87E+00
3.18,1.04E+01
3.184,1.04E+01
3.188,1.01E+01
3.192,1.01E+01
3.196,1.04E+01
3.2,1.06E+01
3.204,1.06E+01
3.208,1.09E+01
3.212,1.18E+01
3.216,1.26E+01
3.22,1.26E+01
3.224,1.23E+01
3.228,1.26E+01
3.232,1.23E+01
3.236,1.21E+01
3.24,1.16E+01
3.244,1.18E+01
3.248,1.30E+01
3.252,1.57E+01
3.256,2.21E+01
3.26,3.09E+01
3.264,4.01E+01
3.268,4.82E+01
3.272,5.36E+01
3.276,5.65E+01
3.28,5.70E+01
3.284,5.50E+01
3.288,5.06E+01
3.292,4.53E+01
3.296,3.94E+01
3.3,3.38E+01
3.304,2.82E+01
3.308,2.23E+01
3.312,1.79E+01
3.316,1.40E+01
3.32,1.11E+01
3.324,9.63E+00
3.328,9.39E+00
3.332,9.87E+00
3.336,9.87E+00
3.34,9.87E+00
3.344,1.01E+01
3.348,1.04E+01
3.352,1.04E+01
3.356,1.01E+01
3.36,1.01E+01
3.364,1.06E+01
3.368,1.09E+01
3.372,1.09E+01
3.376,1.11E+01
3.38,1.21E+01
3.384,1.28E+01
3.388,1.28E+01
3.392,1.23E+01
3.396,1.23E+01
3.4,1.23E+01
3.404,1.18E+01
3.408,1.16E+01
3.412,1.21E+01
3.416,1.38E+01
3.42,1.74E+01
3.424,2.50E+01
3.428,3.43E+01
3.432,4.33E+01
3.436,5.04E+01
3.44,5.48E+01
3.444,5.67E+01
3.448,5.65E+01
3.452,5.36E+01
3.456,4.87E+01
3.46,4.28E+01
3.464,3.77E+01
3.468,3.16E+01
3.472,2.60E+01
3.476,2.06E+01
3.48,1.62E+01
3.484,1.28E+01
3.488,1.04E+01
3.492,9.39E+00
3.496,9.63E+00
3.5,9.87E+00
3.504,9.87E+00
3.508,9.87E+00
3.512,1.04E+01
3.516,1.04E+01
3.52,1.01E+01
3.524,1.01E+01
3.528,1.01E+01
3.532,1.06E+01
3.536,1.09E+01
3.54,1.09E+01
3.544,1.16E+01
3.548,1.23E+01
3.552,1.26E+01
3.556,1.26E+01
3.56,1.26E+01
3.564,1.23E+01
3.568,1.23E+01
3.572,1.18E+01
3.576,1.16E+01
3.58,1.26E+01
3.584,1.45E+01
3.588,1.94E+01
3.592,2.75E+01
3.596,3.67E+01
3.6,4.53E+01
3.604,5.16E+01
3.608,5.53E+01
3.612,5.67E+01
3.616,5.58E+01
3.62,5.21E+01
3.624,4.70E+01
3.628,4.14E+01
3.632,3.58E+01
3.636,2.96E+01
3.64,2.43E+01
3.644,1.92E+01
3.648,1.52E+01
3.652,1.21E+01
3.656,1.01E+01
3.66,9.39E+00
3.664,9.87E+00
3.668,9.87E+00
3.672,9.87E+00
3.676,9.87E+00
3.68,1.04E+01
3.684,1.04E+01
3.688,1.01E+01
3.692,1.01E+01
3.696,1.04E+01
3.7,1.06E+01
3.704,1.06E+01
3.708,1.11E+01
3.712,1.18E+01
3.716,1.26E+01
3.72,1.26E+01
3.724,1.26E+01
3.728,1.26E+01
3.732,1.23E+01
3.736,1.21E+01
3.74,1.16E+01
3.744,1.18E+01
3.748,1.28E+01
3.752,1.52E+01
3.756,2.11E+01
3.76,2.99E+01
3.764,3.89E+01
3.768,4.70E+01
3.772,5.26E+01
3.776,5.55E+01
3.78,5.65E+01
3.784,5.48E+01
3.788,5.06E+01
3.792,4.55E+01
3.796,3.99E+01
3.8,3.43E+01
3.804,2.87E+01
3.808,2.31E+01
3.812,1.82E+01
3.816,1.43E+01
3.82,1.13E+01
3.824,9.63E+00
3.828,9.39E+00
3.832,9.87E+00
3.836,9.87E+00
3.84,9.87E+00
3.844,1.01E+01
3.848,1.06E+01
3.852,1.04E+01
3.856,1.01E+01
3.86,1.01E+01
3.864,1.06E+01
3.868,1.06E+01
3.872,1.09E+01
3.876,1.11E+01
3.88,1.21E+01
3.884,1.28E+01
3.888,1.28E+01
3.892,1.26E+01
3.896,1.26E+01
3.9,1.23E+01
3.904,1.21E+01
3.908,1.16E+01
3.912,1.21E+01
3.916,1.33E+01
3.92,1.62E+01
3.924,2.31E+01
3.928,3.21E+01
3.932,4.09E+01
3.936,4.82E+01
3.94,5.33E+01
3.944,5.60E+01
3.948,5.63E+01
3.952,5.38E+01
3.956,4.94E+01
3.96,4.41E+01
3.964,3.84E+01
3.968,3.28E+01
3.972,2.70E+01
3.976,2.18E+01
3.98,1.74E+01
3.984,1.35E+01
3.988,1.09E+01
3.992,9.63E+00
3.996,9.63E+00
4,1.01E+01
4.004,9.87E+00
4.008,1.01E+01
4.012,1.04E+01
4.016,1.06E+01
4.02,1.04E+01
4.024,1.01E+01
4.028,1.01E+01
4.032,1.06E+01
4.036,1.06E+01
4.04,1.09E+01
4.044,1.13E+01
4.048,1.23E+01
4.052,1.26E+01
4.056,1.26E+01
4.06,1.28E+01
4.064,1.28E+01
4.068,1.23E+01
4.072,1.21E+01
4.076,1.18E+01
4.08,1.23E+01
4.084,1.35E+01
,
