LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
1.544,6.21E+00
1.548,6.21E+00
1.552,5.48E+00
1.556,5.72E+00
1.56,6.21E+00
1.564,5.97E+00
1.568,5.72E+00
1.572,5.72E+00
1.576,5.97E+00
1.58,6.21E+00
1.584,5.97E+00
1.588,5.72E+00
1.592,5.97E+00
1.596,6.46E+00
1.6,6.21E+00
1.604,5.72E+00
1.608,5.97E+00
1.612,6.70E+00
1.616,6.70E+00
1.62,6.70E+00
1.624,7.19E+00
1.628,8.17E+00
1.632,8.41E+00
1.636,7.68E+00
1.64,7.92E+00
1.644,8.65E+00
1.648,8.41E+00
1.652,8.17E+00
1.656,1.11E+01
1.66,1.96E+01
1.664,3.16E+01
1.668,4.72E+01
1.672,6.14E+01
1.676,7.02E+01
1.68,7.48E+01
1.684,7.73E+01
1.688,7.85E+01
1.692,7.95E+01
1.696,8.04E+01
1.7,8.02E+01
1.704,7.92E+01
1.708,7.82E+01
1.712,7.75E+01
1.716,7.63E+01
1.72,7.43E+01
1.724,7.31E+01
1.728,7.21E+01
1.732,7.02E+01
1.736,6.65E+01
1.74,6.24E+01
1.744,5.63E+01
1.748,4.41E+01
1.752,3.50E+01
1.756,2.72E+01
1.76,2.09E+01
1.764,1.52E+01
1.768,1.04E+01
1.772,6.46E+00
1.776,4.50E+00
1.78,3.53E+00
1.784,3.28E+00
1.788,3.04E+00
1.792,3.53E+00
1.796,4.01E+00
1.8,4.01E+00
1.804,3.53E+00
1.808,3.77E+00
1.812,4.26E+00
1.816,4.01E+00
1.82,3.53E+00
1.824,3.77E+00
1.828,4.50E+00
1.832,4.50E+00
1.836,3.77E+00
1.84,4.01E+00
1.844,4.75E+00
1.848,4.75E+00
1.852,4.26E+00
1.856,4.26E+00
1.86,4.75E+00
1.864,4.99E+00
1.868,4.50E+00
1.872,4.50E+00
1.876,4.75E+00
1.88,5.24E+00
1.884,4.75E+00
1.888,4.50E+00
1.892,4.75E+00
1.896,5.48E+00
1.9,4.99E+00
1.904,4.75E+00
1.908,4.99E+00
1.912,5.48E+00
1.916,5.48E+00
1.92,4.75E+00
1.924,4.99E+00
1.928,5.72E+00
1.932,5.48E+00
1.936,4.99E+00
1.94,5.24E+00
1.944,5.97E+00
1.948,5.97E+00
1.952,5.24E+00
1.956,5.24E+00
1.96,5.97E+00
1.964,5.97E+00
1.968,5.72E+00
1.972,5.48E+00
1.976,5.97E+00
1.98,6.21E+00
1.984,5.97E+00
1.988,5.72E+00
1.992,5.97E+00
1.996,6.46E+00
2,6.21E+00
2.004,5.97E+00
2.008,5.97E+00
2.012,6.46E+00
2.016,6.46E+00
2.02,5.97E+00
2.024,6.21E+00
2.028,6.70E+00
2.032,6.70E+00
2.036,6.21E+00
2.04,6.46E+00
2.044,7.43E+00
2.048,7.92E+00
2.052,7.68E+00
2.056,7.92E+00
2.06,8.65E+00
2.064,8.90E+00
2.068,8.65E+00
2.072,8.41E+00
2.076,8.65E+00
2.08,9.63E+00
2.084,1.33E+01
2.088,2.16E+01
2.092,3.45E+01
2.096,5.11E+01
2.1,6.41E+01
2.104,7.09E+01
2.108,7.51E+01
2.112,7.80E+01
2.116,7.92E+01
2.12,7.95E+01
2.124,7.99E+01
2.128,8.04E+01
2.132,7.95E+01
2.136,7.77E+01
2.14,7.68E+01
2.144,7.60E+01
2.148,7.46E+01
2.152,7.26E+01
2.156,7.12E+01
2.16,6.94E+01
2.164,6.63E+01
2.168,6.11E+01
2.172,5.31E+01
2.176,4.19E+01
2.18,3.40E+01
2.184,2.62E+01
2.188,1.94E+01
2.192,1.43E+01
2.196,1.06E+01
2.2,6.94E+00
2.204,4.50E+00
2.208,3.77E+00
2.212,4.26E+00
2.216,4.50E+00
2.22,4.01E+00
2.224,4.50E+00
2.228,5.24E+00
2.232,4.99E+00
2.236,4.26E+00
2.24,4.26E+00
2.244,4.75E+00
2.248,4.75E+00
2.252,4.01E+00
2.256,4.26E+00
2.26,4.75E+00
2.264,4.75E+00
2.268,4.50E+00
2.272,4.50E+00
2.276,4.75E+00
2.28,4.99E+00
2.284,4.75E+00
2.288,4.26E+00
2.292,4.50E+00
2.296,4.99E+00
2.3,4.75E+00
2.304,4.50E+00
2.308,4.75E+00
2.312,5.24E+00
2.316,5.24E+00
2.32,4.75E+00
2.324,4.99E+00
2.328,5.48E+00
2.332,5.48E+00
2.336,4.75E+00
2.34,4.75E+00
2.344,5.72E+00
2.348,5.48E+00
2.352,4.99E+00
2.356,4.99E+00
2.36,5.72E+00
2.364,5.72E+00
2.368,5.24E+00
2.372,5.24E+00
2.376,5.72E+00
2.38,5.97E+00
2.384,5.72E+00
2.388,5.48E+00
2.392,5.48E+00
2.396,5.97E+00
