LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
1.656,5.85E+01
1.66,4.21E+01
1.664,2.62E+01
1.668,1.50E+01
1.672,8.90E+00
1.676,5.97E+00
1.68,4.50E+00
1.684,4.01E+00
1.688,4.50E+00
1.692,4.99E+00
1.696,5.48E+00
1.7,5.48E+00
1.704,5.24E+00
1.708,5.48E+00
1.712,5.97E+00
1.716,6.21E+00
1.72,6.46E+00
1.724,6.94E+00
1.728,7.43E+00
1.732,7.43E+00
1.736,7.19E+00
1.74,7.43E+00
1.744,7.92E+00
1.748,9.14E+00
1.752,1.50E+01
1.756,3.18E+01
1.76,5.58E+01
1.764,7.58E+01
1.768,8.51E+01
1.772,8.80E+01
1.776,8.90E+01
1.78,8.87E+01
1.784,8.80E+01
1.788,8.65E+01
1.792,8.48E+01
1.796,8.26E+01
1.8,7.95E+01
1.804,7.26E+01
1.808,5.97E+01
1.812,4.31E+01
1.816,2.70E+01
1.82,1.57E+01
1.824,9.39E+00
1.828,6.21E+00
1.832,4.50E+00
1.836,4.01E+00
1.84,4.50E+00
1.844,5.24E+00
1.848,5.48E+00
1.852,4.99E+00
1.856,4.99E+00
1.86,5.72E+00
1.864,5.97E+00
1.868,5.72E+00
1.872,6.21E+00
1.876,7.19E+00
1.88,7.43E+00
1.884,7.19E+00
1.888,7.43E+00
1.892,7.68E+00
1.896,7.68E+00
1.9,8.65E+00
1.904,1.35E+01
1.908,2.92E+01
1.912,5.19E+01
1.916,7.31E+01
1.92,8.38E+01
1.924,8.75E+01
1.928,8.87E+01
1.932,8.85E+01
1.936,8.78E+01
1.94,8.65E+01
1.944,8.53E+01
1.948,8.29E+01
1.952,7.95E+01
1.956,7.38E+01
1.96,6.24E+01
1.964,4.58E+01
1.968,2.87E+01
1.972,1.70E+01
1.976,1.04E+01
1.98,6.46E+00
1.984,4.50E+00
1.988,4.01E+00
1.992,4.50E+00
1.996,4.99E+00
2,5.24E+00
2.004,4.99E+00
2.008,5.24E+00
2.012,5.72E+00
2.016,5.97E+00
2.02,5.72E+00
2.024,6.21E+00
2.028,7.19E+00
2.032,7.43E+00
2.036,6.94E+00
2.04,7.43E+00
2.044,7.68E+00
2.048,7.68E+00
2.052,7.92E+00
2.056,1.26E+01
2.06,2.70E+01
2.064,4.80E+01
2.068,6.97E+01
2.072,8.26E+01
2.076,8.75E+01
2.08,8.85E+01
2.084,8.80E+01
2.088,8.78E+01
2.092,8.68E+01
2.096,8.53E+01
2.1,8.29E+01
2.104,7.99E+01
2.108,7.48E+01
2.112,6.41E+01
2.116,4.80E+01
2.12,3.09E+01
2.124,1.84E+01
2.128,1.11E+01
2.132,6.94E+00
2.136,4.50E+00
2.14,4.01E+00
2.144,4.75E+00
2.148,4.99E+00
2.152,4.75E+00
2.156,4.99E+00
2.16,5.72E+00
2.164,5.72E+00
2.168,5.24E+00
2.172,5.72E+00
2.176,6.70E+00
2.18,6.94E+00
2.184,6.94E+00
2.188,7.19E+00
2.192,7.43E+00
2.196,7.68E+00
2.2,7.68E+00
2.204,7.92E+00
2.208,1.13E+01
2.212,2.38E+01
2.216,4.38E+01
2.22,6.63E+01
2.224,8.09E+01
2.228,8.68E+01
2.232,8.82E+01
2.236,8.80E+01
2.24,8.78E+01
2.244,8.70E+01
2.248,8.53E+01
2.252,8.26E+01
2.256,8.02E+01
2.26,7.63E+01
2.264,6.63E+01
2.268,4.99E+01
2.272,3.33E+01
2.276,2.04E+01
2.28,1.21E+01
2.284,6.94E+00
2.288,4.75E+00
2.292,4.26E+00
2.296,4.50E+00
2.3,4.99E+00
2.304,4.99E+00
2.308,5.24E+00
2.312,5.48E+00
2.316,5.48E+00
2.32,5.48E+00
2.324,5.72E+00
2.328,6.46E+00
2.332,6.94E+00
2.336,6.94E+00
2.34,7.19E+00
2.344,7.68E+00
2.348,7.68E+00
2.352,7.19E+00
2.356,7.68E+00
2.36,1.09E+01
2.364,2.09E+01
2.368,3.94E+01
2.372,6.24E+01
2.376,7.95E+01
2.38,8.60E+01
2.384,8.75E+01
2.388,8.78E+01
2.392,8.78E+01
2.396,8.73E+01
2.4,8.56E+01
2.404,8.31E+01
2.408,8.07E+01
2.412,7.70E+01
2.416,6.85E+01
2.42,5.31E+01
2.424,3.62E+01
2.428,2.23E+01
2.432,1.30E+01
2.436,7.68E+00
2.44,4.99E+00
2.444,4.50E+00
2.448,4.50E+00
2.452,4.50E+00
2.456,4.99E+00
2.46,5.72E+00
2.464,5.48E+00
2.468,4.99E+00
2.472,5.24E+00
2.476,5.97E+00
2.48,6.46E+00
2.484,6.70E+00
2.488,6.94E+00
2.492,7.19E+00
2.496,7.43E+00
2.5,7.68E+00
2.504,7.43E+00
2.508,7.68E+00
2.512,9.63E+00
2.516,1.74E+01
2.52,3.48E+01
2.524,5.75E+01
2.528,7.63E+01
2.532,8.51E+01
2.536,8.70E+01
2.54,8.78E+01
2.544,8.82E+01
2.548,8.73E+01
2.552,8.53E+01
2.556,8.36E+01
2.56,8.17E+01
2.564,7.80E+01
2.568,7.04E+01
2.572,5.67E+01
2.576,4.04E+01
2.58,2.48E+01
2.584,1.45E+01
2.588,8.65E+00
2.592,5.48E+00
2.596,4.50E+00
2.6,4.26E+00
2.604,4.50E+00
2.608,4.99E+00
2.612,5.48E+00
2.616,5.48E+00
2.62,5.24E+00
2.624,5.24E+00
2.628,5.97E+00
2.632,6.21E+00
2.636,6.21E+00
2.64,6.94E+00
2.644,7.43E+00
2.648,7.68E+00
2.652,7.19E+00
2.656,7.43E+00
2.66,7.92E+00
2.664,8.90E+00
2.668,1.33E+01
2.672,2.84E+01
2.676,5.04E+01
2.68,7.12E+01
2.684,8.26E+01
2.688,8.65E+01
2.692,8.78E+01
2.696,8.80E+01
2.7,8.75E+01
2.704,8.58E+01
2.708,8.43E+01
2.712,8.24E+01
2.716,7.92E+01
2.72,7.36E+01
2.724,6.19E+01
2.728,4.63E+01
2.732,2.94E+01
2.736,1.72E+01
2.74,1.01E+01
2.744,6.70E+00
2.748,4.75E+00
2.752,3.77E+00
2.756,4.26E+00
2.76,5.24E+00
2.764,5.48E+00
2.768,4.99E+00
2.772,5.24E+00
2.776,5.72E+00
2.78,5.72E+00
2.784,5.72E+00
2.788,6.21E+00
2.792,6.70E+00
2.796,7.43E+00
2.8,7.43E+00
2.804,7.19E+00
2.808,7.43E+00
2.812,7.68E+00
2.816,7.92E+00
2.82,1.01E+01
2.824,2.04E+01
2.828,3.94E+01
2.832,6.21E+01
2.836,7.80E+01
2.84,8.51E+01
2.844,8.78E+01
2.848,8.80E+01
2.852,8.73E+01
2.856,8.65E+01
2.86,8.56E+01
2.864,8.34E+01
2.868,8.04E+01
2.872,7.65E+01
2.876,6.90E+01
2.88,5.43E+01
2.884,3.70E+01
2.888,2.23E+01
2.892,1.33E+01
2.896,8.17E+00
2.9,5.24E+00
2.904,4.01E+00
2.908,4.26E+00
2.912,4.99E+00
2.916,5.24E+00
2.92,4.99E+00
2.924,5.24E+00
2.928,5.48E+00
2.932,5.72E+00
2.936,5.48E+00
2.94,5.97E+00
2.944,6.94E+00
2.948,7.19E+00
2.952,6.94E+00
2.956,7.19E+00
2.96,7.92E+00
2.964,7.68E+00
2.968,7.19E+00
2.972,8.90E+00
2.976,1.62E+01
2.98,3.26E+01
2.984,5.43E+01
2.988,7.36E+01
2.992,8.36E+01
2.996,8.68E+01
3,8.75E+01
3.004,8.73E+01
3.008,8.65E+01
3.012,8.56E+01
3.016,8.36E+01
3.02,8.12E+01
3.024,7.80E+01
3.028,7.19E+01
3.032,5.89E+01
3.036,4.19E+01
3.04,2.60E+01
3.044,1.60E+01
3.048,9.63E+00
3.052,5.48E+00
3.056,4.01E+00
3.06,4.75E+00
3.064,4.99E+00
3.068,4.50E+00
3.072,4.99E+00
3.076,5.48E+00
3.08,5.48E+00
3.084,5.48E+00
3.088,5.48E+00
3.092,5.97E+00
3.096,6.70E+00
3.1,6.94E+00
3.104,6.94E+00
3.108,7.19E+00
3.112,7.68E+00
3.116,7.68E+00
3.12,7.43E+00
3.124,7.92E+00
3.128,1.21E+01
3.132,2.45E+01
3.136,4.41E+01
3.14,6.60E+01
3.144,8.07E+01
3.148,8.58E+01
3.152,8.68E+01
3.156,8.73E+01
3.16,8.75E+01
3.164,8.65E+01
3.168,8.41E+01
3.172,8.24E+01
3.176,7.99E+01
3.18,7.53E+01
3.184,6.53E+01
3.188,4.99E+01
3.192,3.33E+01
3.196,2.01E+01
3.2,1.18E+01
3.204,6.94E+00
3.208,4.75E+00
3.212,4.50E+00
3.216,4.50E+00
3.22,4.75E+00
3.224,4.99E+00
3.228,5.48E+00
3.232,5.48E+00
3.236,5.24E+00
3.24,5.48E+00
3.244,6.21E+00
3.248,6.46E+00
3.252,6.46E+00
3.256,6.94E+00
3.26,7.68E+00
3.264,7.68E+00
3.268,7.43E+00
3.272,7.43E+00
3.276,7.92E+00
3.28,1.04E+01
3.284,1.94E+01
3.288,3.72E+01
3.292,5.97E+01
3.296,7.68E+01
3.3,8.46E+01
3.304,8.65E+01
3.308,8.70E+01
3.312,8.73E+01
3.316,8.65E+01
3.32,8.46E+01
3.324,8.29E+01
3.328,8.07E+01
3.332,7.68E+01
3.336,6.87E+01
3.34,5.48E+01
3.344,3.82E+01
3.348,2.33E+01
3.352,1.33E+01
3.356,7.92E+00
3.36,5.72E+00
3.364,4.50E+00
3.368,4.01E+00
3.372,4.50E+00
3.376,5.24E+00
3.38,5.48E+00
3.384,5.24E+00
3.388,5.24E+00
3.392,5.48E+00
3.396,5.97E+00
3.4,6.21E+00
3.404,6.46E+00
3.408,6.94E+00
3.412,7.43E+00
3.416,7.68E+00
3.42,7.43E+00
3.424,7.43E+00
3.428,7.92E+00
3.432,8.90E+00
3.436,1.40E+01
3.44,2.94E+01
3.444,5.09E+01
3.448,7.09E+01
3.452,8.17E+01
3.456,8.58E+01
3.46,8.75E+01
3.464,8.75E+01
3.468,8.65E+01
3.472,8.53E+01
3.476,8.41E+01
3.48,8.17E+01
3.484,7.85E+01
3.488,7.29E+01
3.492,6.16E+01
3.496,4.55E+01
3.5,2.92E+01
3.504,1.72E+01
3.508,1.01E+01
3.512,6.46E+00
3.516,4.75E+00
3.52,4.01E+00
3.524,4.50E+00
