LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
2.408,2.79E+00
2.412,3.53E+00
2.416,3.77E+00
2.42,4.01E+00
2.424,4.50E+00
2.428,4.99E+00
2.432,5.24E+00
2.436,4.99E+00
2.44,5.24E+00
2.444,5.72E+00
2.448,5.72E+00
2.452,5.24E+00
2.456,5.48E+00
2.46,6.21E+00
2.464,6.21E+00
2.468,5.97E+00
2.472,6.21E+00
2.476,7.19E+00
2.48,7.68E+00
2.484,8.17E+00
2.488,8.90E+00
2.492,1.01E+01
2.496,1.09E+01
2.5,1.11E+01
2.504,1.11E+01
2.508,1.13E+01
2.512,1.16E+01
2.516,1.23E+01
2.52,1.62E+01
2.524,2.77E+01
2.528,4.45E+01
2.532,6.55E+01
2.536,8.36E+01
2.54,9.07E+01
2.544,9.19E+01
2.548,9.39E+01
2.552,9.51E+01
2.556,9.61E+01
2.56,9.75E+01
2.564,9.75E+01
2.568,9.68E+01
2.572,9.68E+01
2.576,9.73E+01
2.58,9.73E+01
2.584,9.70E+01
2.588,9.75E+01
2.592,9.75E+01
2.596,9.65E+01
2.6,9.34E+01
2.604,8.78E+01
2.608,7.80E+01
2.612,5.99E+01
2.616,4.82E+01
2.62,3.77E+01
2.624,2.87E+01
2.628,2.13E+01
2.632,1.48E+01
2.636,9.14E+00
2.64,5.72E+00
2.644,4.01E+00
2.648,2.79E+00
2.652,2.06E+00
2.656,2.31E+00
2.66,3.04E+00
2.664,3.04E+00
2.668,2.55E+00
2.672,3.04E+00
2.676,4.01E+00
2.68,4.26E+00
2.684,3.77E+00
2.688,4.01E+00
2.692,4.50E+00
2.696,4.50E+00
2.7,4.26E+00
2.704,4.01E+00
2.708,4.50E+00
2.712,4.75E+00
2.716,4.75E+00
2.72,4.50E+00
2.724,4.99E+00
2.728,5.72E+00
2.732,6.21E+00
2.736,6.46E+00
2.74,7.68E+00
2.744,8.90E+00
2.748,9.14E+00
2.752,8.90E+00
2.756,9.39E+00
2.76,9.63E+00
2.764,9.39E+00
2.768,8.90E+00
2.772,1.23E+01
2.776,2.21E+01
2.78,3.65E+01
2.784,5.55E+01
2.788,7.70E+01
2.792,8.82E+01
2.796,9.07E+01
2.8,9.14E+01
2.804,9.29E+01
2.808,9.41E+01
2.812,9.53E+01
2.816,9.58E+01
2.82,9.58E+01
2.824,9.56E+01
2.828,9.61E+01
2.832,9.61E+01
2.836,9.58E+01
2.84,9.61E+01
2.844,9.65E+01
2.848,9.56E+01
2.852,9.26E+01
2.856,8.87E+01
2.86,8.17E+01
2.864,6.46E+01
2.868,5.14E+01
2.872,4.06E+01
2.876,3.21E+01
2.88,2.40E+01
2.884,1.65E+01
2.888,1.11E+01
2.892,7.43E+00
2.896,4.75E+00
2.9,3.04E+00
2.904,2.31E+00
2.908,3.04E+00
2.912,3.53E+00
2.916,3.77E+00
2.92,3.53E+00
2.924,4.01E+00
2.928,4.99E+00
2.932,4.99E+00
2.936,4.75E+00
2.94,4.99E+00
2.944,5.72E+00
2.948,5.72E+00
2.952,5.24E+00
2.956,5.48E+00
2.96,6.21E+00
2.964,5.97E+00
2.968,5.72E+00
2.972,6.21E+00
2.976,7.43E+00
2.98,8.17E+00
2.984,8.17E+00
2.988,9.39E+00
2.992,1.04E+01
2.996,1.09E+01
3,1.09E+01
3.004,1.06E+01
3.008,1.06E+01
3.012,1.18E+01
3.016,1.55E+01
3.02,2.55E+01
3.024,4.16E+01
3.028,6.29E+01
3.032,8.31E+01
3.036,9.04E+01
3.04,9.19E+01
3.044,9.43E+01
3.048,9.58E+01
3.052,9.61E+01
3.056,9.70E+01
3.06,9.80E+01
3.064,9.78E+01
3.068,9.73E+01
3.072,9.73E+01
3.076,9.83E+01
3.08,9.85E+01
3.084,9.83E+01
3.088,9.80E+01
3.092,9.75E+01
3.096,9.56E+01
3.1,9.09E+01
3.104,8.29E+01
3.108,6.48E+01
3.112,5.19E+01
3.116,4.06E+01
3.12,3.09E+01
3.124,2.26E+01
3.128,1.62E+01
3.132,1.09E+01
3.136,6.46E+00
3.14,4.26E+00
3.144,3.53E+00
3.148,3.04E+00
3.152,2.55E+00
3.156,3.04E+00
3.16,3.77E+00
3.164,4.01E+00
3.168,3.53E+00
3.172,4.01E+00
3.176,4.75E+00
3.18,4.99E+00
3.184,4.75E+00
3.188,4.75E+00
3.192,5.48E+00
3.196,5.72E+00
